0,why do people always play clinkz in turbo,NOT
1,ez bot,OFF
2,pudgE?,NOT
3,how you see lf?,NOT
4,k pudge,NOT
5,you get my report,OFF
6,for what,NOT
7,wall hack,NOT
8,you get my report,OFF
9,what,NOT
10,good luck,NOT
11,ITS FUCKING DUSTS,OFF
12,enjoy vac ban,OFF
13,g,NOT
14,gogu* retart,OFF
15,gg,NOT
16,gg,NOT
17,gg,NOT
18,glhf,NOT
19,?,NOT
20,lag,NOT
21,wait la,NOT
22,Wtf?,NOT
23,cant wait?,NOT
24,ur not 9k,NOT
25,ur r kid,OFF
26,nice,NOT
27,for what?,NOT
28,?,NOT
29,?,NOT
30,?,NOT
31,),NOT
32,GG wp,NOT
33,omg,NOT
34,GG wp,NOT
35,gg wp,NOT
36,rubick just shhouting useless,OFF
37,come again,NOT
38,sss,NOT
39,ezz tp,OFF
40,),NOT
41,gGG,NOT
42,GG,NOT
43,izi mid,OFF
44,kunka,NOT
45,ls,NOT
46,GG,NOT
47,GG,NOT
48,GG,NOT
49,GG,NOT
50,gg wp,NOT
51,gg wp,NOT
52,buye,NOT
53,:P,NOT
54,))_)))),NOT
55,WP,NOT
56,)),NOT
57,my team is 20 mmr all reunited tbh,NOT
58,report PA ty,OFF
59,gg,NOT
60,?,NOT
61,?,NOT
62,no,NOT
63,you pidar,NOT
64,da da,NOT
65,10 [g,NOT
66,10 xh,NOT
67,xp,NOT
68,hp,NOT
69,GG WP,NOT
70,?,NOT
71,EZ,OFF
72,cowards,NOT
73,",!,",NOT
74,fuck off from me,OFF
75,),NOT
76,lol,NOT
77,XD?,NOT
78,4X4?,NOT
79,:???????,NOT
80,if ursa have lvl 1 its will be easy fb,OFF
81,?,NOT
82,mouse ,NOT
83,sry,NOT
84,1 min,NOT
85,ty,NOT
86,?,NOT
87,go use your own shop =),NOT
88,),NOT
89,)),NOT
90,ez,NOT
91,ez,OFF
92,why?,NOT
93,trade 4 lives for sniper,NOT
94,GG,NOT
95,ez,OFF
96,:)),NOT
97,EZ,OFF
98,commend nyo es na magaling wag yung es na bobo,NOT
99,IMIK ANU,NOT
100,46-36,NOT
101,parang ES lang,NOT
102,hahha,NOT
103,HAHAHAHAHAHAHAHA,NOT
104,46-36,NOT
105,es na bobo,NOT
106,puta,NOT
107,46-36,NOT
108,haha,NOT
109,hahahah,NOT
110,jerax bobo ka naman,NOT
111,+,NOT
112,GG WP,NOT
113,Ez mid,OFF
114,gg full carry,NOT
115,toh hang,NOT
116,igt bleh menang?,NOT
117,bendi bendi,NOT
118,lancau,NOT
119,to hang to mem,NOT
120,cakap pun tak btoi,NOT
121,torma dan loca,NOT
122,nak menang lagi,NOT
123,lagi torma,NOT
124,torma pak ang,NOT
125,pak ang lor la,NOT
126,ey ki ggt la,NOT
127,ggwp,NOT
128,gg,NOT
129,double 5 ranks GG,NOT
130,nice combo tinker ns,NOT
131,nais combo,NOT
132,sven kontrit pla iil net,NOT
133,sven ,NOT
134,ty govoril vrode net,NOT
135,nu ofc,NOT
136,v 6 slotov,NOT
137,pl silnee,NOT
138,GG,NOT
139,gg,NOT
140,was afk,NOT
141,wtf,NOT
142,sf,NOT
143,condomn,NOT
144,sniper you`re so dam good,NOT
145,how can you play with him so good?,NOT
146,ohh right click and go,NOT
147,gg,NOT
148,a net melhoro foi?,NOT
149,primeira deu fail,NOT
150,gg sk,NOT
151,kk,NOT
152,comend,NOT
153,GG,NOT
154,noob team,OFF
155,fucking tinker,OFF
156,HAHAHA,NOT
157,FUCK,OFF
158,HAHAHA,NOT
159,SAD LA,OFF
160,lol,NOT
161,HAHAHA,NOT
162,dagger in,NOT
163,ANU YUN ENIGMA ? HAHAHA,NOT
164,OK,NOT
165,HAHAHA,NOT
166,t,NOT
167,HAHAHA,NOT
168,WTF,NOT
169,haha,NOT
170,NO BUYBACK,NOT
171,PUSH,NOT
172,haha,NOT
173,haha,NOT
174,ENDNA,NOT
175,END NA,OFF
176,FUCK UR 1 psuh,OFF
177,HAHAHA,NOT
178,COME BOT LAST CLASH,NOT
179,HAHAHA HERO BB ?,NOT
180,SURE NA BA KAYO ?,NOT
181,SAD,NOT
182,Ez,OFF
183,hahah,NOT
184,GEGE,NOT
185,Gg,NOT
186,haha,NOT
187,GGWP,NOT
188,ez,OFF
189,commend mne,NOT
190,EZ,OFF
191,ez,OFF
192,EZ SUPP,OFF
193,por la weba predicen quispes,NOT
194,LOL ,NOT
195,lo,NOT
196,que cha pasa,NOT
197,Ez,OFF
198,.l.,NOT
199,gg ,NOT
200,for pandariam!!,NOT
201,gg,NOT
202,PANDA ,NOT
203,LOL ,NOT
204,eZ MID,OFF
205,ezz of,OFF
206,wk ctmr,NOT
207,ezz,OFF
208,te odio,NOT
209,SEXO,NOT
210,(,NOT
211,))),NOT
212,lfhje,NOT
213,),NOT
214,ty,NOT
215,lol,NOT
216,ybn,NOT
217,)),NOT
218,),NOT
219,te kasna bubacka,NOT
220,ggwp,NOT
221,gg,NOT
222,tOY MOTIVADO RECIEN VI A MI GORDO SMASH,NOT
223,chichichiled led led,NOT
224,ese mismo,NOT
225,que querias hacrr,NOT
226,blood mid xd,NOT
227,why u let,NOT
228,low skill player mid vs me,OFF
229,listo,NOT
230,Xd,NOT
231,XD,NOT
232,ez mid,OFF
233,::'(,NOT
234,comend tide,NOT
235,good ult :D,NOT
236,finish plz,OFF
237,gg wp,NOT
238,gg,NOT
239,gg,NOT
240,gg wp,NOT
241,hate you,OFF
242,BRUH,NOT
243,lycan,NOT
244,like why don't ,NOT
245,you jungley?,NOT
246,im depressed,NOT
247,how bout you,NOT
248,Lo siento no me puedo concentrar,NOT
249,Ando en otra,NOT
250,report pango,OFF
251,Stole bounty,NOT
252,Xd :V ,NOT
253,"report pagnolierelri, too many blink",OFF
254,"report panhandle, too many javilo",OFF
255,gg,NOT
256,gg,NOT
257,&,NOT
258,2 times ?,NOT
259,fcuking tinker,OFF
260,gg wp,NOT
261,report sniper,OFF
262,p`lz,NOT
263,ty,NOT
264,fkj],NOT
265,lol,NOT
266,omg,NOT
267,?,NOT
268, ),NOT
269,GG,NOT
270,gg,NOT
271,gl,NOT
272,?,NOT
273,x,NOT
274,x,NOT
275,XD,NOT
276,da pra ganha,NOT
277,da,NOT
278,foi bom,NOT
279,meu yurnero,NOT
280,joga mt,NOT
281,sabe da lh,NOT
282,ERZA,OFF
283,EZ LIFE,OFF
284,gl and have a fucking fun all,NOT
285,you too bro ,NOT
286,wp,NOT
287,gg,NOT
288,gg,NOT
289,gg am ez,OFF
290,?,NOT
291,Currently OfflineLast Online 2 mins ago,NOT
292,Currently OfflineLast Online 4 mins ago,NOT
293,Currently Online,NOT
294,pause,NOT
295,he will be back,NOT
296,hes online,NOT
297,ok,NOT
298,who likes pizza,NOT
299,Currently In-GameDota 2Join Game,NOT
300,same,NOT
301,ez team,OFF
302,pause,NOT
303,hes almost here,NOT
304,please,NOT
305,no,NOT
306,Dios llego,NOT
307,lol,NOT
308,hola pyudge,NOT
309,hola,NOT
310,lol,NOT
311,lol,NOT
312,muere,NOT
313,lmao,NOT
314,ooops,NOT
315,he'll come back,NOT
316,we waited for your peruvian invoker,OFF
317,so plz,NOT
318,no is mmr ,NOT
319,loser,OFF
320,his palms are just a bit sweaty,NOT
321,his knees are weak,NOT
322,please pause he's coming,NOT
323,power went out,NOT
324,it's back,NOT
325,....,NOT
326,ranked?,NOT
327,ti,NOT
328,Rofl,NOT
329,normal..,NOT
330,wait you noobs,OFF
331,F9,NOT
332,nop,NOT
333,ti2017-2,NOT
334,2 more,NOT
335,legendary Sepiroth Silencer,NOT
336,faggots know they can't win with pudge here,OFF
337,ya me lo viole,NOT
