lmatch,player_num,gmatch,text,OFF
1,4,191211,why do people always play clinkz in turbo,NOT
1,8,191211,ez bot,OFF
2,1,84581,pudgE? how you see lf? k pudge you get my report,OFF
2,5,84581,for what,NOT
2,1,84581,wall hack you get my report,OFF
2,5,84581,what,NOT
2,1,84581,good luck,NOT
2,5,84581,ITS FUCKING DUSTS,OFF
2,1,84581,enjoy vac ban,OFF
2,9,84581,g gogu* retart,OFF
2,7,84581,gg,NOT
2,1,84581,gg,NOT
2,0,84581,gg,NOT
3,2,254247,glhf,NOT
3,4,254247,?,NOT
3,1,254247,lag wait la Wtf? cant wait?,NOT
3,4,254247,ur not 9k,NOT
3,1,254247,ur r kid,OFF
3,2,254247,nice for what?,NOT
3,7,254247,?,NOT
3,4,254247,?,NOT
3,7,254247,?,NOT
3,6,254247,),NOT
3,1,254247,GG wp,NOT
3,2,254247,omg,NOT
3,1,254247,GG wp,NOT
3,5,254247,gg wp,NOT
3,1,254247,rubick just shhouting useless,OFF
4,4,283832,come again,NOT
4,2,283832,sss,NOT
4,3,283832,ezz tp ),OFF
4,2,283832,gGG GG izi mid kunka ls GG GG GG GG,OFF
4,0,283832,gg wp,NOT
4,8,283832,gg wp,NOT
5,4,231182,buye :P,NOT
5,7,231182,))_)))),NOT
5,4,231182,WP,NOT
5,8,231182,)),NOT
5,0,231182,my team is 20 mmr all reunited tbh report PA ty,OFF
5,4,231182,gg,NOT
6,1,173416,?,NOT
6,5,173416,?,NOT
6,1,173416,no you pidar da da 10 [g 10 xh xp hp GG WP ?,NOT
6,6,173416,EZ,OFF
7,4,26051,cowards,NOT
7,6,26051,",!,",NOT
8,9,123982,fuck off from me,OFF
8,3,123982,) lol,NOT
8,5,123982,XD? 4X4?,NOT
8,7,123982,:???????,NOT
8,8,123982,if ursa have lvl 1 its will be easy fb,OFF
8,2,123982,?,NOT
8,9,123982,mouse  sry 1 min,NOT
8,3,123982,ty,NOT
8,9,123982,?,NOT
8,6,123982,go use your own shop =),NOT
8,3,123982,) )),NOT
8,4,123982,ez,NOT
8,6,123982,ez,OFF
10,4,252433,why? trade 4 lives for sniper,NOT
10,2,252433,GG,NOT
10,7,252433,ez :)),OFF
